sentences/sentence/0/text,sentences/sentence/0/Opinions/Opinion/0/_target,sentences/sentence/0/Opinions/Opinion/0/_category,sentences/sentence/0/Opinions/Opinion/0/_polarity,sentences/sentence/0/Opinions/Opinion/0/_from,sentences/sentence/0/Opinions/Opinion/0/_to,sentences/sentence/0/_id,_rid,sentences/sentence/0/Opinions/Opinion/1/_target,sentences/sentence/0/Opinions/Opinion/1/_category,sentences/sentence/0/Opinions/Opinion/1/_polarity,sentences/sentence/0/Opinions/Opinion/1/_from,sentences/sentence/0/Opinions/Opinion/1/_to,sentences/sentence/1/text,sentences/sentence/1/Opinions/Opinion/0/_target,sentences/sentence/1/Opinions/Opinion/0/_category,sentences/sentence/1/Opinions/Opinion/0/_polarity,sentences/sentence/1/Opinions/Opinion/0/_from,sentences/sentence/1/Opinions/Opinion/0/_to,sentences/sentence/1/_id,sentences/sentence/2/text,sentences/sentence/2/Opinions/Opinion/0/_target,sentences/sentence/2/Opinions/Opinion/0/_category,sentences/sentence/2/Opinions/Opinion/0/_polarity,sentences/sentence/2/Opinions/Opinion/0/_from,sentences/sentence/2/Opinions/Opinion/0/_to,sentences/sentence/2/_id,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_target,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/0/_from,sentences/sentence/3/Opinions/Opinion/0/_to,sentences/sentence/3/_id,sentences/sentence/1/Opinions/Opinion/1/_target,sentences/sentence/1/Opinions/Opinion/1/_category,sentences/sentence/1/Opinions/Opinion/1/_polarity,sentences/sentence/1/Opinions/Opinion/1/_from,sentences/sentence/1/Opinions/Opinion/1/_to,sentences/sentence/0/Opinions/Opinion/2/_target,sentences/sentence/0/Opinions/Opinion/2/_category,sentences/sentence/0/Opinions/Opinion/2/_polarity,sentences/sentence/0/Opinions/Opinion/2/_from,sentences/sentence/0/Opinions/Opinion/2/_to,sentences/sentence/0/Opinions/Opinion/3/_target,sentences/sentence/0/Opinions/Opinion/3/_category,sentences/sentence/0/Opinions/Opinion/3/_polarity,sentences/sentence/0/Opinions/Opinion/3/_from,sentences/sentence/0/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/1/_target,sentences/sentence/2/Opinions/Opinion/1/_category,sentences/sentence/2/Opinions/Opinion/1/_polarity,sentences/sentence/2/Opinions/Opinion/1/_from,sentences/sentence/2/Opinions/Opinion/1/_to,sentences/sentence/1/Opinions/Opinion/2/_target,sentences/sentence/1/Opinions/Opinion/2/_category,sentences/sentence/1/Opinions/Opinion/2/_polarity,sentences/sentence/1/Opinions/Opinion/2/_from,sentences/sentence/1/Opinions/Opinion/2/_to,sentences/sentence/3/Opinions/Opinion/1/_target,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity,sentences/sentence/3/Opinions/Opinion/1/_from,sentences/sentence/3/Opinions/Opinion/1/_to,sentences/sentence/4/text,sentences/sentence/4/Opinions/Opinion/0/_target,sentences/sentence/4/Opinions/Opinion/0/_category,sentences/sentence/4/Opinions/Opinion/0/_polarity,sentences/sentence/4/Opinions/Opinion/0/_from,sentences/sentence/4/Opinions/Opinion/0/_to,sentences/sentence/4/_id,sentences/sentence/5/text,sentences/sentence/5/Opinions/Opinion/0/_target,sentences/sentence/5/Opinions/Opinion/0/_category,sentences/sentence/5/Opinions/Opinion/0/_polarity,sentences/sentence/5/Opinions/Opinion/0/_from,sentences/sentence/5/Opinions/Opinion/0/_to,sentences/sentence/5/_id,sentences/sentence/6/text,sentences/sentence/6/Opinions/Opinion/0/_target,sentences/sentence/6/Opinions/Opinion/0/_category,sentences/sentence/6/Opinions/Opinion/0/_polarity,sentences/sentence/6/Opinions/Opinion/0/_from,sentences/sentence/6/Opinions/Opinion/0/_to,sentences/sentence/6/_id,sentences/sentence/0/Opinions/Opinion/4/_target,sentences/sentence/0/Opinions/Opinion/4/_category,sentences/sentence/0/Opinions/Opinion/4/_polarity,sentences/sentence/0/Opinions/Opinion/4/_from,sentences/sentence/0/Opinions/Opinion/4/_to,sentences/sentence/0/Opinions/Opinion/5/_target,sentences/sentence/0/Opinions/Opinion/5/_category,sentences/sentence/0/Opinions/Opinion/5/_polarity,sentences/sentence/0/Opinions/Opinion/5/_from,sentences/sentence/0/Opinions/Opinion/5/_to,sentences/sentence/0/Opinions/Opinion/6/_target,sentences/sentence/0/Opinions/Opinion/6/_category,sentences/sentence/0/Opinions/Opinion/6/_polarity,sentences/sentence/0/Opinions/Opinion/6/_from,sentences/sentence/0/Opinions/Opinion/6/_to,sentences/sentence/1/Opinions/Opinion/3/_target,sentences/sentence/1/Opinions/Opinion/3/_category,sentences/sentence/1/Opinions/Opinion/3/_polarity,sentences/sentence/1/Opinions/Opinion/3/_from,sentences/sentence/1/Opinions/Opinion/3/_to,sentences/sentence/2/Opinions/Opinion/2/_target,sentences/sentence/2/Opinions/Opinion/2/_category,sentences/sentence/2/Opinions/Opinion/2/_polarity,sentences/sentence/2/Opinions/Opinion/2/_from,sentences/sentence/2/Opinions/Opinion/2/_to,sentences/sentence/2/Opinions/Opinion/3/_target,sentences/sentence/2/Opinions/Opinion/3/_category,sentences/sentence/2/Opinions/Opinion/3/_polarity,sentences/sentence/2/Opinions/Opinion/3/_from,sentences/sentence/2/Opinions/Opinion/3/_to
Great food but slooooooowest service ever!!!,food,FOOD#QUALITY,positive,6,10,165:0,165,service,SERVICE#GENERAL,negative,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$3 Burgers On Wednesdays,Burgers,FOOD#PRICES,positive,3,10,166:0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THAI ICED COFFEE!!,THAI ICED COFFEE,DRINKS#QUALITY,positive,0,16,167:0,167,,,,,,No other words!,,,,,,167:1,It's amazing!,,DRINKS#QUALITY,positive,0,0,167:2,This is such an awesome little place.,place,RESTAURANT#GENERAL,positive,31,36,167:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good is good!,,FOOD#QUALITY,positive,0,0,167:4,You can't go wrong.,You can't go wrong.,RESTAURANT#GENERAL,positive,0,19,167:5,Ate here many times when in Petoskey!,,RESTAURANT#GENERAL,positive,0,0,167:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have to drive an hour to get here and it's always worth it.,,RESTAURANT#GENERAL,positive,0,0,168:0,168,,,,,,Their BBQ pork buns are SUPER tasty.,BBQ pork buns,FOOD#QUALITY,positive,6,19,168:1,And the bubble tea is so delicious.,bubble tea,DRINKS#QUALITY,positive,8,18,168:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy lobster roll is amazing.,Spicy lobster roll,FOOD#QUALITY,positive,0,18,169:0,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the jerk tofu wrap is spicy...and delicious,jerk tofu wrap,FOOD#QUALITY,positive,4,18,170:0,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great tasting burger.,burger,FOOD#QUALITY,positive,14,20,171:0,171,,,,,,The Parmesan chips with truffle sauce were crunchy and yummy.,Parmesan chips with truffle sauce,FOOD#QUALITY,positive,4,37,171:1,Despite the reviews (which are dated).,,,,,,171:2,Ate after the rush hour around 2pm.,,,,,,171:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Took 5-7 mins for order.,,,,,,171:4,Will return,,,,,,171:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not bad .. delicious french fries :OK_hand:,french fries,FOOD#QUALITY,positive,21,33,172:0,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you shop at the Giant next door before you eat, you can frequently get a $5 off coupon good off of any $20 purchase.",,RESTAURANT#MISCELLANEOUS,positive,0,0,173:0,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy ravioli is the best,Cheesy ravioli,FOOD#QUALITY,positive,0,14,174:0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobblerito: thanksgiving season special.,gobblerito,FOOD#QUALITY,positive,0,10,175:0,175,,,,,,It's a thanksgiving feast rolled into a burrito!,,,,,,175:1,Try it.,,FOOD#QUALITY,positive,0,0,175:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Get the pasta portofino salad and iced mocha, and hang out for a little while.",pasta portofino salad,FOOD#QUALITY,positive,8,29,176:0,176,"iced mocha,",FOOD#QUALITY,positive,34,45,The Gipsy Kings playing in the background will make up for there being no Internet.,,AMBIENCE#GENERAL,positive,0,0,176:1,,,,,,,,,,,,,,,,RESTAURANT#MISCELLANEOUS,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing view and great BLAT sandwich as well as California burger.,view,LOCATION#GENERAL,positive,8,12,177:0,177,BLAT sandwich,FOOD#QUALITY,positive,23,36,Great rest stop!,rest,RESTAURANT#GENERAL,positive,6,10,177:1,,,,,,,,,,,,,,,,,,,,California burger,FOOD#QUALITY,positive,48,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super friendly staff! & tasty sandwiches.,staff,SERVICE#GENERAL,positive,15,20,178:0,178,sandwiches,FOOD#QUALITY,positive,30,40,Try Montagnard,Montagnard,FOOD#QUALITY,positive,4,14,178:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome dumplings!,dumplings,FOOD#QUALITY,positive,8,17,179:0,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good service! ^^,service,FOOD#QUALITY,positive,5,12,180:0,180,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB&J shake is a must!,PB&J shake,DRINKS#QUALITY,positive,0,10,181:0,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cozy and charming corner cafe: Jeckyll and Hyde has cool style (see the leather seats and upright piano in the picture), a great vibe and, of course, yummy yummy coffee.",cafe,AMBIENCE#GENERAL,positive,25,29,182:0,182,cafe,RESTAURANT#GENERAL,positive,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,seats,AMBIENCE#GENERAL,positive,80,85,piano,AMBIENCE#GENERAL,positive,98,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vibe,AMBIENCE#GENERAL,positive,129,133,coffee,DRINKS#QUALITY,positive,162,168,style,AMBIENCE#GENERAL,positive,57,62,,,,,,,,,,,,,,,
Great staff!,staff,SERVICE#GENERAL,positive,6,11,183:0,183,,,,,,Very fun and friendly...been going here for years.,,AMBIENCE#GENERAL,positive,0,0,183:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Im not too picky with my burgers, as long as they have lettuce-tomatoes-cheese-and a juicy patty.",,,,,,184:0,184,,,,,,"Im solved :p , for the record..burgers are tasty, and the staff are very welcoming ;)",burgers,FOOD#QUALITY,positive,31,38,184:1,,,,,,,,,,,,,,,staff,SERVICE#GENERAL,positive,58,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not as bad as the reviews looks like 3 pricks over reviewing,,RESTAURANT#GENERAL,neutral,0,0,185:0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basically lived here for a week.,Basically lived here for a week.,RESTAURANT#GENERAL,positive,0,32,186:0,186,,,,,,Awesome place that captures the European cafe culture.,place,RESTAURANT#GENERAL,positive,8,13,186:1,Also BEST croissant I've ever had! :),croissant,FOOD#QUALITY,positive,10,19,186:2,,,,,,,,European cafe culture,AMBIENCE#GENERAL,positive,32,53,,,,,,,,,,,,RESTAURANT#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great food, one of the best, awesome presentation of food!!!",food,FOOD#QUALITY,positive,6,10,187:0,187,presentation of food,FOOD#STYLE_OPTIONS,positive,37,57,Good service to,service,SERVICE#GENERAL,positive,5,12,187:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have the best Schawarma in UAE.,Schawarma,FOOD#QUALITY,positive,19,28,188:0,188,,,,,,Trust me on that,,,,,,188:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As much as I love the food here, I absolutely do not recommend it anytime it's anything other than completely dead.",food,FOOD#QUALITY,positive,22,26,189:0,189,,SERVICE#GENERAL,negative,0,0,They ALWAYS mess up my order and leave me waiting far too long.,,SERVICE#GENERAL,negative,0,0,189:1,"Boo, Miso. :(",,,,,,189:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This new Birmingham restaurant just opened, but the comforting European-influenced food and carefully curated children's menu are already drawing local attention.",food,FOOD#QUALITY,positive,83,87,190:0,190,menu,FOOD#STYLE_OPTIONS,positive,121,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eat here the meze from the chef or try the retsina plate,meze from the chef,FOOD#QUALITY,positive,13,31,191:0,191,retsina plate,FOOD#QUALITY,positive,43,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you don't want to be queued on the waiting list for tables, get there ahead of the rush hour.",,,,,,192:0,192,,,,,,It can take a while to get a seat.,,,,,,192:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin is by far one of the best bartenders in the business.,Kevin,SERVICE#GENERAL,positive,0,5,193:0,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Very friendly staff and good service, We were there Monday lunch, 3 March 2014, forgot to ask her name.",staff,SERVICE#GENERAL,positive,14,19,194:0,194,service,SERVICE#GENERAL,positive,29,36,She is working only by herself but still working with smile.,,SERVICE#GENERAL,positive,0,0,194:1,Need more staff there.,staff,SERVICE#GENERAL,negative,10,15,194:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During football season, they celebrate Monday Night Football by offering their happy hour menu all night (3p-close).",,,,,,195:0,195,,,,,,There is a huge variety of food and drinks half off.,variety of food,FOOD#STYLE_OPTIONS,positive,16,31,195:1,,,,,,,,,,,,,,,drinks,DRINKS#STYLE_OPTIONS,positive,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wonderful ""Historic"" dining experience...",,RESTAURANT#GENERAL,positive,0,0,196:0,196,,,,,,The pub is perfect for a quick bite and drink.,pub,RESTAURANT#GENERAL,positive,4,7,196:1,"If you haven't experienced the dinner theater and formal dining experience, you're in for a treat!",,SERVICE#GENERAL,positive,0,0,196:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dude,,one one the 3 best margaritas in the world.",margaritas,DRINKS#QUALITY,positive,25,35,197:0,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There's always a lot of people but its worth the wait!,,RESTAURANT#GENERAL,positive,0,0,198:0,198,,AMBIENCE#GENERAL,negative,0,0,Watch the signs for lines.,,,,,,198:1,"Cakes only, Cafe, Pastries.",,,,,,198:2,I love the potato balls and the baked ham and cheese croissants!,potato balls,FOOD#QUALITY,positive,11,23,198:3,,,,,,,,,,,,,,,,,,,,,,,,,,baked ham and cheese croissants,FOOD#QUALITY,positive,32,63,Cheese rolls with guava!,Cheese rolls with guava,FOOD#QUALITY,positive,0,23,198:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love the cheese tart ..<3,cheese tart,FOOD#QUALITY,positive,9,20,199:0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art cafe nice vienna atmosphere,atmosphere,AMBIENCE#GENERAL,positive,21,31,200:0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Splitting the big breakfast with a friend is awesome, affordable, and will full up just about anybody.",breakfast,FOOD#QUALITY,positive,18,27,201:0,201,breakfast,FOOD#STYLE_OPTIONS,positive,18,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOOD#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Always fast and friendly!,,SERVICE#GENERAL,positive,0,0,202:0,202,,,,,,The food can't be beat.,food,FOOD#QUALITY,positive,4,8,202:1,Best Arby's on Telegraph!,Arby's,RESTAURANT#GENERAL,positive,5,11,202:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shitty service,service,SERVICE#GENERAL,negative,7,14,203:0,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is 10/10 :clapping_hands::clapping_hands:,food,FOOD#QUALITY,positive,4,8,204:0,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast burrito never let's me down.,Breakfast burrito,FOOD#QUALITY,positive,0,17,205:0,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The chorizo is a must!!,chorizo,FOOD#QUALITY,positive,4,11,206:0,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food,food,FOOD#QUALITY,positive,6,10,207:0,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The tenderloin is Oh.,tenderloin,FOOD#QUALITY,positive,4,14,208:0,208,,,,,,My.,,,,,,208:1,God.,,,,,,208:2,Good.,,FOOD#QUALITY,positive,0,0,208:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This place is the real deal.,place,RESTAURANT#PRICES,positive,5,10,208:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
awesome old school italian! super welcoming staff. loved it. fast & cozy for lunch.,,RESTAURANT#GENERAL,positive,0,0,209:0,209,staff,SERVICE#GENERAL,positive,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICE#GENERAL,positive,0,0,,AMBIENCE#GENERAL,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Only.,,,,,,210:0,210,,,,,,Bring Cash.,,,,,,210:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mint chocolate, pumpkin spice chocolate, coffee, hot caramel cider",,,,,,211:0,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPETS@Lavender - behind V-Hotel #02-178.,,,,,,212:0,212,,,,,,Great deals for pets cage/food & other stuffs!!,,,,,,212:1,Rabbits/Chinchilla/GuineaPig/Hamster.,,,,,,212:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This place is useless, had very disappointing service.Quality & Quantity of food is worst but the cost is like 5 star Hotel.Never ever recommend this place to anyone, total waste of money :(",place,RESTAURANT#GENERAL,negative,5,10,213:0,213,service,SERVICE#GENERAL,negative,46,53,,,,,,,,,,,,,,,,,,,,,,,,,,,food,FOOD#QUALITY,negative,76,80,food,FOOD#STYLE_OPTIONS,negative,76,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#PRICES,negative,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Great place for a quiet lunch near the perimeter that is NOT a chain or forcing you to fight traffic.,place,RESTAURANT#GENERAL,positive,6,11,214:0,214,,,,,,The salads here are the best!,salads,FOOD#QUALITY,positive,4,10,214:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possibly the best bistro in Brooklyn.,bistro,RESTAURANT#GENERAL,positive,18,24,215:0,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome cajun chicken + gumbo.,cajun chicken + gumbo,FOOD#QUALITY,positive,8,29,216:0,216,,,,,,Order the beignets (suggested by Becky)-you will not be disappointed,beignets,FOOD#QUALITY,positive,10,18,216:1,,,,,,,,,,,,,,,Becky,SERVICE#GENERAL,positive,33,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Try the orange chicken!!,orange chicken,FOOD#QUALITY,positive,8,22,217:0,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice shisha .. give it a try.,shisha,FOOD#QUALITY,positive,5,11,218:0,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best coffee on the NH-45,coffee,DRINKS#QUALITY,positive,5,11,219:0,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAZEBALLS!,,,,,,220:0,220,,,,,,Get the cheese plate.,cheese plate,FOOD#QUALITY,positive,8,20,220:1,Best $12 I have ever spent.,,RESTAURANT#GENERAL,positive,0,0,220:2,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT#PRICES,positive,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biryani at this place makes you feel like at Hyderabad,Biryani,FOOD#QUALITY,positive,0,7,221:0,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The ice cream is fantastic and it's cheaper than Grom.,ice cream,FOOD#QUALITY,positive,4,13,222:0,222,,RESTAURANT#PRICES,positive,0,0,One of my top 3 ice creams in torino.,ice creams,FOOD#QUALITY,positive,16,26,222:1,Chantilly and Nocciola variegato gianduja.,Chantilly and Nocciola variegato gianduja,FOOD#QUALITY,positive,0,41,222:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
